Number_of_throws;	chi2
4831;	1.0648000000e+02
4832;	1.2236000000e+02
4833;	1.0140000000e+02
4834;	1.0856000000e+02
4835;	9.0650000000e+01
4836;	8.8160000000e+01
4837;	7.4320000000e+01
4838;	1.0667000000e+02
4839;	8.8620000000e+01
4840;	9.7890000000e+01
4841;	1.0850000000e+02
4842;	1.3071000000e+02
4843;	8.6880000000e+01
4844;	8.7740000000e+01
4845;	8.2750000000e+01
4846;	8.1010000000e+01
4847;	1.0167000000e+02
4848;	7.5030000000e+01
4849;	1.0754000000e+02
4850;	1.2247000000e+02
4851;	9.3680000000e+01
4852;	9.7400000000e+01
4853;	1.0056000000e+02
4854;	9.9090000000e+01
4855;	1.2263000000e+02
4856;	6.6430000000e+01
4857;	8.9750000000e+01
4858;	1.0178000000e+02
4859;	6.6660000000e+01
4860;	1.0527000000e+02
4861;	9.0130000000e+01
4862;	9.3200000000e+01
4863;	7.8360000000e+01
4864;	9.2110000000e+01
4865;	9.6610000000e+01
4866;	1.1982000000e+02
4867;	9.8110000000e+01
4868;	8.9630000000e+01
4869;	9.6290000000e+01
4870;	1.0529000000e+02
4871;	7.5980000000e+01
4872;	9.2550000000e+01
4873;	1.0001000000e+02
4874;	1.2668000000e+02
4875;	1.0721000000e+02
4876;	1.1969000000e+02
4877;	1.2183000000e+02
4878;	8.2380000000e+01
4879;	7.3970000000e+01
4880;	1.0516000000e+02
4881;	9.3980000000e+01
4882;	8.3360000000e+01
4883;	1.0648000000e+02
4884;	8.3980000000e+01
4885;	9.2260000000e+01
4886;	1.2604000000e+02
4887;	8.6890000000e+01
4888;	1.4979000000e+02
4889;	7.4620000000e+01
4890;	9.0470000000e+01
4891;	1.2748000000e+02
4892;	1.2500000000e+02
4893;	8.5930000000e+01
4894;	9.7810000000e+01
4895;	9.3070000000e+01
4896;	1.0904000000e+02
4897;	8.3870000000e+01
4898;	9.2630000000e+01
4899;	9.8690000000e+01
4900;	9.9930000000e+01
4901;	1.0924000000e+02
4902;	9.6770000000e+01
4903;	9.8920000000e+01
4904;	1.4436000000e+02
4905;	1.0131000000e+02
4906;	9.6060000000e+01
4907;	9.2290000000e+01
4908;	1.3005000000e+02
4909;	1.0022000000e+02
4910;	1.1734000000e+02
4911;	8.5700000000e+01
4912;	1.1523000000e+02
4913;	8.9890000000e+01
4914;	9.0660000000e+01
4915;	1.0436000000e+02
4916;	9.8570000000e+01
4917;	7.8830000000e+01
4918;	8.0140000000e+01
4919;	1.0470000000e+02
4920;	9.4980000000e+01
4921;	1.2015000000e+02
4922;	1.1295000000e+02
4923;	1.1502000000e+02
4924;	9.8410000000e+01
4925;	1.0035000000e+02
4926;	8.5140000000e+01
4927;	8.6460000000e+01
4928;	9.6660000000e+01
4929;	1.1967000000e+02
4930;	9.0050000000e+01
4931;	8.1030000000e+01
4932;	1.0023000000e+02
4933;	8.9500000000e+01
4934;	7.6220000000e+01
4935;	9.6510000000e+01
4936;	7.6400000000e+01
4937;	1.0406000000e+02
4938;	1.0519000000e+02
4939;	8.7100000000e+01
4940;	1.2685000000e+02
4941;	9.0680000000e+01
4942;	1.3737000000e+02
4943;	1.0785000000e+02
4944;	1.0976000000e+02
4945;	8.6940000000e+01
4946;	8.0850000000e+01
4947;	8.9970000000e+01
4948;	8.7880000000e+01
4949;	9.2320000000e+01
4950;	8.9640000000e+01
4951;	1.2145000000e+02
4952;	9.8300000000e+01
4953;	1.2349000000e+02
4954;	1.0570000000e+02
4955;	7.4510000000e+01
4956;	1.0409000000e+02
4957;	9.1510000000e+01
4958;	1.0168000000e+02
4959;	9.9390000000e+01
4960;	9.0860000000e+01
4961;	9.0760000000e+01
4962;	1.1363000000e+02
4963;	8.4650000000e+01
4964;	9.7460000000e+01
4965;	8.9070000000e+01
4966;	7.5720000000e+01
4967;	1.0564000000e+02
4968;	9.3380000000e+01
4969;	1.0152000000e+02
4970;	9.1490000000e+01
4971;	8.1740000000e+01
4972;	1.1888000000e+02
4973;	8.8490000000e+01
4974;	8.4170000000e+01
4975;	1.0905000000e+02
4976;	1.2680000000e+02
4977;	1.0413000000e+02
4978;	1.0307000000e+02
4979;	8.1080000000e+01
4980;	1.2141000000e+02
4981;	8.7260000000e+01
4982;	1.2256000000e+02
4983;	8.6360000000e+01
4984;	1.0416000000e+02
4985;	1.0652000000e+02
4986;	1.2020000000e+02
4987;	1.1685000000e+02
4988;	9.4310000000e+01
4989;	9.6750000000e+01
4990;	9.9370000000e+01
4991;	8.6830000000e+01
4992;	1.0185000000e+02
4993;	1.1709000000e+02
4994;	1.0094000000e+02
4995;	1.0364000000e+02
4996;	9.8310000000e+01
4997;	1.0107000000e+02
4998;	9.2930000000e+01
4999;	9.6370000000e+01
5000;	9.6200000000e+01
5001;	1.1119000000e+02
5002;	1.1345000000e+02
5003;	9.4310000000e+01
5004;	8.8660000000e+01
5005;	1.1222000000e+02
5006;	9.5860000000e+01
5007;	1.1032000000e+02
5008;	1.1068000000e+02
5009;	9.8760000000e+01
5010;	1.1732000000e+02
5011;	1.0404000000e+02
5012;	9.9730000000e+01
5013;	1.0453000000e+02
5014;	7.9990000000e+01
5015;	9.0130000000e+01
5016;	1.1599000000e+02
5017;	1.2872000000e+02
5018;	1.0720000000e+02
5019;	1.0294000000e+02
5020;	1.1851000000e+02
5021;	9.9020000000e+01
5022;	1.0743000000e+02
5023;	1.1934000000e+02
5024;	9.1210000000e+01
5025;	1.3359000000e+02
5026;	1.1218000000e+02
5027;	7.9740000000e+01
5028;	1.0963000000e+02
5029;	7.6610000000e+01
5030;	1.1702000000e+02
5031;	7.6250000000e+01
5032;	7.1450000000e+01
5033;	1.0073000000e+02
5034;	8.2780000000e+01
5035;	1.0858000000e+02
5036;	9.7500000000e+01
5037;	1.2164000000e+02
5038;	8.7450000000e+01
5039;	9.9510000000e+01
5040;	1.2088000000e+02
5041;	9.8420000000e+01
5042;	9.9150000000e+01
5043;	9.7310000000e+01
5044;	1.0893000000e+02
5045;	8.2320000000e+01
5046;	8.5130000000e+01
5047;	1.0393000000e+02
5048;	9.2620000000e+01
5049;	9.6230000000e+01
5050;	1.0600000000e+02
5051;	1.0031000000e+02
5052;	1.1201000000e+02
5053;	8.6230000000e+01
5054;	1.1601000000e+02
5055;	1.2087000000e+02
5056;	7.7980000000e+01
5057;	9.4730000000e+01
5058;	1.1079000000e+02
5059;	1.2255000000e+02
5060;	1.1583000000e+02
5061;	9.2040000000e+01
5062;	1.0597000000e+02
5063;	9.0930000000e+01
5064;	1.0056000000e+02
5065;	1.0104000000e+02
5066;	1.2203000000e+02
5067;	1.0421000000e+02
5068;	1.0451000000e+02
5069;	8.7240000000e+01
5070;	1.1248000000e+02
5071;	9.2360000000e+01
5072;	1.1236000000e+02
5073;	1.0446000000e+02
5074;	1.1126000000e+02
5075;	9.1270000000e+01
5076;	9.4140000000e+01
5077;	1.2095000000e+02
5078;	1.3494000000e+02
5079;	8.4500000000e+01
5080;	1.2957000000e+02
5081;	7.7880000000e+01
5082;	8.4910000000e+01
5083;	7.7070000000e+01
5084;	9.0870000000e+01
5085;	9.1090000000e+01
5086;	9.8880000000e+01
5087;	1.0243000000e+02
5088;	8.4650000000e+01
5089;	1.1033000000e+02
5090;	8.6860000000e+01
5091;	9.9810000000e+01
5092;	1.1945000000e+02
5093;	9.7630000000e+01
5094;	8.4740000000e+01
5095;	9.7390000000e+01
5096;	1.0900000000e+02
5097;	1.3985000000e+02
5098;	1.0072000000e+02
5099;	1.2012000000e+02
5100;	9.7460000000e+01
5101;	1.0589000000e+02
5102;	1.1721000000e+02
5103;	1.1988000000e+02
5104;	9.0610000000e+01
5105;	9.4100000000e+01
5106;	1.0325000000e+02
5107;	9.9120000000e+01
5108;	8.8350000000e+01
5109;	1.0189000000e+02
5110;	9.3060000000e+01
5111;	9.7520000000e+01
5112;	7.9490000000e+01
5113;	1.0602000000e+02
5114;	1.0167000000e+02
5115;	1.0657000000e+02
5116;	1.1144000000e+02
5117;	9.4730000000e+01
5118;	9.1050000000e+01
5119;	1.0139000000e+02
5120;	1.0908000000e+02
5121;	7.8590000000e+01
5122;	7.5230000000e+01
5123;	1.0453000000e+02
5124;	1.0523000000e+02
5125;	9.4480000000e+01
5126;	7.2020000000e+01
5127;	1.0737000000e+02
5128;	9.0920000000e+01
5129;	1.0759000000e+02
5130;	1.0538000000e+02
5131;	9.4850000000e+01
5132;	1.1722000000e+02
5133;	1.1369000000e+02
5134;	8.6780000000e+01
5135;	9.9750000000e+01
5136;	1.1017000000e+02
5137;	9.6870000000e+01
5138;	1.0004000000e+02
5139;	1.1850000000e+02
5140;	9.9320000000e+01
5141;	6.7760000000e+01
5142;	1.1393000000e+02
5143;	8.9740000000e+01
5144;	1.1626000000e+02
5145;	7.8820000000e+01
5146;	9.3640000000e+01
5147;	1.1064000000e+02
5148;	1.2059000000e+02
5149;	8.8260000000e+01
5150;	8.9140000000e+01
5151;	1.0719000000e+02
5152;	1.1446000000e+02
5153;	9.1770000000e+01
5154;	1.0398000000e+02
5155;	1.0833000000e+02
5156;	8.9840000000e+01
5157;	9.5000000000e+01
5158;	7.5930000000e+01
5159;	1.1134000000e+02
5160;	1.1708000000e+02
5161;	9.8700000000e+01
5162;	9.5320000000e+01
5163;	9.4990000000e+01
5164;	9.5900000000e+01
5165;	8.4270000000e+01
5166;	1.0219000000e+02
5167;	1.0977000000e+02
5168;	1.0076000000e+02
5169;	9.0110000000e+01
5170;	1.1091000000e+02
5171;	1.1439000000e+02
5172;	7.4970000000e+01
5173;	1.0204000000e+02
5174;	1.1780000000e+02
5175;	1.2287000000e+02
5176;	9.4280000000e+01
5177;	1.0999000000e+02
5178;	1.1310000000e+02
5179;	9.6570000000e+01
5180;	1.0991000000e+02
5181;	8.1270000000e+01
5182;	9.2820000000e+01
5183;	8.8920000000e+01
5184;	8.6650000000e+01
5185;	1.2519000000e+02
5186;	9.7600000000e+01
5187;	1.3150000000e+02
5188;	8.2970000000e+01
5189;	1.1237000000e+02
5190;	1.0179000000e+02
5191;	1.0786000000e+02
5192;	1.1849000000e+02
5193;	9.7650000000e+01
5194;	8.3270000000e+01
5195;	8.9640000000e+01
5196;	6.8690000000e+01
5197;	1.0431000000e+02
5198;	1.0539000000e+02
5199;	1.0350000000e+02
5200;	8.6560000000e+01
5201;	9.2330000000e+01
5202;	1.0709000000e+02
5203;	8.6090000000e+01
5204;	9.4510000000e+01
5205;	1.0200000000e+02
5206;	7.6020000000e+01
5207;	1.1649000000e+02
5208;	1.0719000000e+02
5209;	1.2933000000e+02
5210;	8.4300000000e+01
5211;	9.0890000000e+01
5212;	9.2270000000e+01
5213;	1.1886000000e+02
5214;	1.1432000000e+02
5215;	9.4890000000e+01
5216;	1.0550000000e+02
5217;	1.1246000000e+02
5218;	9.9040000000e+01
5219;	1.0267000000e+02
5220;	8.5200000000e+01
5221;	1.0098000000e+02
5222;	7.3910000000e+01
5223;	1.1140000000e+02
5224;	1.0218000000e+02
5225;	9.6720000000e+01
5226;	1.1403000000e+02
5227;	8.4860000000e+01
5228;	8.9160000000e+01
5229;	9.6400000000e+01
5230;	1.1362000000e+02
5231;	1.1720000000e+02
5232;	1.0133000000e+02
5233;	1.0053000000e+02
5234;	1.1040000000e+02
5235;	9.4570000000e+01
5236;	1.0867000000e+02
5237;	9.8620000000e+01
5238;	9.5180000000e+01
5239;	1.1997000000e+02
5240;	9.2170000000e+01
5241;	8.4880000000e+01
5242;	7.9660000000e+01
5243;	9.3140000000e+01
5244;	8.6730000000e+01
5245;	9.8560000000e+01
5246;	1.1796000000e+02
5247;	1.1092000000e+02
5248;	1.0065000000e+02
5249;	9.3830000000e+01
5250;	9.4230000000e+01
5251;	8.6590000000e+01
5252;	9.0100000000e+01
5253;	8.7560000000e+01
5254;	1.1451000000e+02
5255;	8.6290000000e+01
5256;	9.7570000000e+01
5257;	1.1377000000e+02
5258;	1.2468000000e+02
5259;	9.3070000000e+01
5260;	1.1483000000e+02
5261;	7.9020000000e+01
5262;	1.1920000000e+02
5263;	9.5140000000e+01
5264;	1.0735000000e+02
5265;	8.8560000000e+01
5266;	1.1264000000e+02
5267;	1.0180000000e+02
5268;	8.9450000000e+01
5269;	8.9750000000e+01
5270;	1.3932000000e+02
5271;	1.0862000000e+02
5272;	8.1340000000e+01
5273;	9.3380000000e+01
5274;	9.6870000000e+01
5275;	8.9110000000e+01
5276;	8.8040000000e+01
5277;	7.9230000000e+01
5278;	7.1240000000e+01
5279;	8.6450000000e+01
5280;	7.9340000000e+01
5281;	9.9290000000e+01
5282;	9.5830000000e+01
5283;	1.0009000000e+02
5284;	9.9780000000e+01
5285;	1.1798000000e+02
5286;	1.0186000000e+02
5287;	8.3840000000e+01
5288;	9.5950000000e+01
5289;	9.6310000000e+01
5290;	9.3270000000e+01
5291;	9.6950000000e+01
5292;	1.0212000000e+02
5293;	1.0081000000e+02
5294;	9.2470000000e+01
5295;	1.1431000000e+02
5296;	9.2110000000e+01
5297;	1.0271000000e+02
5298;	8.6700000000e+01
5299;	9.4100000000e+01
5300;	1.0130000000e+02
5301;	1.0089000000e+02
5302;	1.0843000000e+02
5303;	8.4710000000e+01
5304;	1.1771000000e+02
5305;	8.9080000000e+01
5306;	9.1230000000e+01
5307;	1.1209000000e+02
5308;	9.2520000000e+01
5309;	9.1450000000e+01
5310;	9.5240000000e+01
5311;	8.9090000000e+01
5312;	7.7900000000e+01
5313;	1.0079000000e+02
5314;	1.0991000000e+02
5315;	8.6130000000e+01
5316;	1.0799000000e+02
5317;	1.0467000000e+02
5318;	1.0201000000e+02
5319;	9.7340000000e+01
5320;	8.3170000000e+01
5321;	8.5380000000e+01
5322;	8.3510000000e+01
5323;	1.1856000000e+02
5324;	8.3740000000e+01
5325;	1.2580000000e+02
5326;	9.8370000000e+01
5327;	1.0664000000e+02
5328;	8.4100000000e+01
5329;	1.0341000000e+02
5330;	6.8100000000e+01
5331;	9.1700000000e+01
5332;	1.0837000000e+02
5333;	9.7630000000e+01
5334;	1.0466000000e+02
5335;	1.0473000000e+02
5336;	1.1123000000e+02
5337;	9.3690000000e+01
5338;	1.0492000000e+02
5339;	1.1983000000e+02
5340;	1.0724000000e+02
5341;	8.0200000000e+01
5342;	7.9870000000e+01
5343;	9.8190000000e+01
5344;	1.1236000000e+02
5345;	1.1032000000e+02
5346;	9.8530000000e+01
5347;	9.6890000000e+01
5348;	9.4650000000e+01
5349;	1.0545000000e+02
5350;	1.0247000000e+02
5351;	1.0738000000e+02
5352;	8.1600000000e+01
5353;	9.3660000000e+01
5354;	1.0192000000e+02
5355;	1.0592000000e+02
5356;	8.7210000000e+01
5357;	1.0120000000e+02
5358;	1.0043000000e+02
5359;	1.0622000000e+02
5360;	1.1233000000e+02
5361;	1.0197000000e+02
5362;	1.0633000000e+02
5363;	1.2065000000e+02
5364;	1.2031000000e+02
5365;	8.9000000000e+01
5366;	1.0231000000e+02
5367;	9.7940000000e+01
5368;	9.8950000000e+01
5369;	8.7320000000e+01
5370;	8.5410000000e+01
5371;	9.5570000000e+01
5372;	1.1863000000e+02
5373;	9.4990000000e+01
5374;	9.9380000000e+01
5375;	9.4740000000e+01
5376;	8.4120000000e+01
5377;	8.9830000000e+01
5378;	1.0757000000e+02
5379;	9.4930000000e+01
5380;	1.0329000000e+02
5381;	1.0270000000e+02
5382;	1.1670000000e+02
5383;	6.7720000000e+01
5384;	8.9870000000e+01
5385;	1.0458000000e+02
5386;	9.9900000000e+01
5387;	9.1200000000e+01
5388;	9.5020000000e+01
5389;	8.4530000000e+01
5390;	7.2930000000e+01
5391;	9.8750000000e+01
5392;	9.3440000000e+01
5393;	1.1714000000e+02
5394;	9.5010000000e+01
5395;	1.0327000000e+02
5396;	1.1194000000e+02
5397;	1.0644000000e+02
5398;	9.0040000000e+01
5399;	8.9870000000e+01
5400;	1.1360000000e+02
5401;	1.0186000000e+02
5402;	1.1250000000e+02
5403;	7.9730000000e+01
5404;	1.1548000000e+02
5405;	1.0114000000e+02
5406;	8.9800000000e+01
5407;	1.0775000000e+02
5408;	1.1068000000e+02
5409;	9.1420000000e+01
5410;	1.0041000000e+02
5411;	1.0580000000e+02
5412;	1.2043000000e+02
5413;	1.1610000000e+02
5414;	9.4830000000e+01
5415;	1.1107000000e+02
5416;	8.7850000000e+01
5417;	1.4020000000e+02
5418;	1.0153000000e+02
5419;	1.0522000000e+02
5420;	9.7610000000e+01
5421;	7.5260000000e+01
5422;	1.0859000000e+02
5423;	1.0380000000e+02
5424;	1.0525000000e+02
5425;	1.0043000000e+02
5426;	1.2783000000e+02
5427;	1.1375000000e+02
5428;	1.0352000000e+02
5429;	1.0304000000e+02
5430;	6.5340000000e+01
5431;	8.9750000000e+01
5432;	8.3710000000e+01
5433;	9.6020000000e+01
5434;	7.5290000000e+01
5435;	1.0659000000e+02
5436;	9.1620000000e+01
5437;	9.0480000000e+01
5438;	1.1467000000e+02
5439;	1.0711000000e+02
5440;	1.0005000000e+02
5441;	7.4170000000e+01
5442;	8.8470000000e+01
5443;	1.0025000000e+02
5444;	9.1410000000e+01
5445;	9.2640000000e+01
5446;	1.3660000000e+02
5447;	1.2341000000e+02
5448;	1.1053000000e+02
5449;	7.7420000000e+01
5450;	7.2300000000e+01
5451;	1.0091000000e+02
5452;	1.1768000000e+02
5453;	1.0496000000e+02
5454;	1.0047000000e+02
5455;	8.8570000000e+01
5456;	1.0877000000e+02
5457;	7.6970000000e+01
5458;	8.7240000000e+01
5459;	9.2490000000e+01
5460;	9.9730000000e+01
5461;	8.8270000000e+01
5462;	8.9180000000e+01
5463;	1.1810000000e+02
5464;	9.9010000000e+01
5465;	8.7890000000e+01
5466;	7.5340000000e+01
5467;	9.1000000000e+01
5468;	7.2340000000e+01
5469;	9.8430000000e+01
5470;	8.6750000000e+01
5471;	9.9890000000e+01
5472;	8.4490000000e+01
5473;	8.4950000000e+01
5474;	1.1824000000e+02
5475;	9.4920000000e+01
5476;	1.1005000000e+02
5477;	9.2460000000e+01
5478;	1.1623000000e+02
5479;	1.0826000000e+02
5480;	9.8890000000e+01
5481;	7.0110000000e+01
5482;	1.0158000000e+02
5483;	7.9510000000e+01
5484;	1.3054000000e+02
5485;	1.1878000000e+02
5486;	7.4430000000e+01
5487;	9.4380000000e+01
5488;	1.0596000000e+02
5489;	8.9440000000e+01
5490;	1.0185000000e+02
5491;	9.5450000000e+01
5492;	9.8380000000e+01
5493;	1.1584000000e+02
5494;	1.0771000000e+02
5495;	8.6050000000e+01
5496;	9.5260000000e+01
5497;	8.3950000000e+01
5498;	9.1550000000e+01
5499;	8.6610000000e+01
5500;	1.0419000000e+02
5501;	1.0111000000e+02
5502;	6.2570000000e+01
5503;	9.3220000000e+01
5504;	1.1801000000e+02
5505;	1.1465000000e+02
5506;	9.8450000000e+01
5507;	8.3080000000e+01
5508;	9.3970000000e+01
5509;	1.1546000000e+02
5510;	1.1918000000e+02
5511;	8.8260000000e+01
5512;	1.0702000000e+02
5513;	8.5900000000e+01
5514;	9.0760000000e+01
5515;	7.9490000000e+01
5516;	7.8610000000e+01
5517;	8.7360000000e+01
5518;	8.1060000000e+01
5519;	1.0456000000e+02
5520;	9.4900000000e+01
5521;	1.0817000000e+02
5522;	9.4060000000e+01
5523;	1.0253000000e+02
5524;	1.1640000000e+02
5525;	9.1590000000e+01
5526;	9.4380000000e+01
5527;	8.6800000000e+01
5528;	7.6820000000e+01
5529;	9.1380000000e+01
5530;	1.2676000000e+02
5531;	7.6720000000e+01
5532;	8.2260000000e+01
5533;	7.7670000000e+01
5534;	1.0366000000e+02
5535;	9.0190000000e+01
5536;	9.3140000000e+01
5537;	9.8580000000e+01
5538;	9.5820000000e+01
5539;	8.9210000000e+01
5540;	9.5740000000e+01
5541;	1.0431000000e+02
5542;	1.1396000000e+02
5543;	1.0638000000e+02
5544;	8.8280000000e+01
5545;	8.7040000000e+01
5546;	9.0190000000e+01
5547;	1.0119000000e+02
5548;	8.9190000000e+01
5549;	9.2500000000e+01
5550;	1.0361000000e+02
5551;	1.1140000000e+02
5552;	8.9590000000e+01
5553;	9.8850000000e+01
5554;	9.1850000000e+01
5555;	1.5101000000e+02
5556;	1.1642000000e+02
5557;	9.5620000000e+01
5558;	1.2614000000e+02
5559;	7.0600000000e+01
5560;	9.6460000000e+01
5561;	8.4390000000e+01
5562;	1.0775000000e+02
5563;	7.4070000000e+01
5564;	8.3650000000e+01
5565;	1.0804000000e+02
5566;	1.0771000000e+02
5567;	1.0186000000e+02
5568;	1.0959000000e+02
5569;	9.6460000000e+01
5570;	8.5090000000e+01
5571;	1.0582000000e+02
5572;	9.4730000000e+01
5573;	1.1388000000e+02
5574;	1.3432000000e+02
5575;	9.4510000000e+01
5576;	8.6650000000e+01
5577;	9.9000000000e+01
5578;	1.1371000000e+02
5579;	8.8740000000e+01
5580;	7.6810000000e+01
5581;	1.2588000000e+02
5582;	1.0233000000e+02
5583;	1.0514000000e+02
5584;	1.0973000000e+02
5585;	1.1605000000e+02
5586;	9.5060000000e+01
5587;	1.2670000000e+02
5588;	9.6420000000e+01
5589;	8.9460000000e+01
5590;	1.0821000000e+02
5591;	1.1386000000e+02
5592;	8.0180000000e+01
5593;	9.3230000000e+01
5594;	9.0980000000e+01
5595;	8.7520000000e+01
5596;	1.2943000000e+02
5597;	1.0888000000e+02
5598;	8.2460000000e+01
5599;	1.2483000000e+02
5600;	8.8920000000e+01
5601;	1.2707000000e+02
5602;	1.0474000000e+02
5603;	9.0880000000e+01
5604;	9.1310000000e+01
5605;	1.0332000000e+02
5606;	9.0780000000e+01
5607;	8.5460000000e+01
5608;	1.4708000000e+02
5609;	9.4700000000e+01
5610;	8.5720000000e+01
5611;	1.0744000000e+02
5612;	9.5540000000e+01
5613;	1.0060000000e+02
5614;	8.3510000000e+01
5615;	1.0608000000e+02
5616;	9.0960000000e+01
5617;	1.1230000000e+02
5618;	1.0775000000e+02
5619;	1.0937000000e+02
5620;	1.0405000000e+02
5621;	9.0620000000e+01
5622;	1.2054000000e+02
5623;	1.2987000000e+02
5624;	1.0660000000e+02
5625;	1.3527000000e+02
5626;	1.0009000000e+02
5627;	1.1335000000e+02
5628;	1.0064000000e+02
5629;	8.7800000000e+01
5630;	9.0820000000e+01
5631;	1.2123000000e+02
5632;	9.0740000000e+01
5633;	1.0249000000e+02
5634;	8.1120000000e+01
5635;	9.8690000000e+01
5636;	1.1747000000e+02
5637;	1.1841000000e+02
5638;	1.0746000000e+02
5639;	1.1813000000e+02
5640;	8.8210000000e+01
5641;	1.1167000000e+02
5642;	1.1175000000e+02
5643;	8.2400000000e+01
5644;	1.0083000000e+02
5645;	8.5290000000e+01
5646;	1.0401000000e+02
5647;	9.9610000000e+01
5648;	9.6220000000e+01
5649;	9.6850000000e+01
5650;	9.4380000000e+01
5651;	8.9420000000e+01
5652;	1.0815000000e+02
5653;	9.6200000000e+01
5654;	9.3050000000e+01
5655;	8.1410000000e+01
5656;	8.8590000000e+01
5657;	9.2880000000e+01
5658;	9.4490000000e+01
5659;	1.0901000000e+02
5660;	8.3530000000e+01
5661;	1.0850000000e+02
5662;	8.8040000000e+01
5663;	1.0628000000e+02
5664;	1.1516000000e+02
5665;	1.1447000000e+02
5666;	7.8450000000e+01
5667;	9.9140000000e+01
5668;	1.0716000000e+02
5669;	1.2991000000e+02
5670;	8.1020000000e+01
5671;	8.9380000000e+01
5672;	8.1400000000e+01
5673;	1.0708000000e+02
5674;	9.1850000000e+01
5675;	7.9960000000e+01
5676;	1.1009000000e+02
5677;	9.9050000000e+01
5678;	1.2361000000e+02
5679;	1.2559000000e+02
5680;	8.9280000000e+01
5681;	9.8380000000e+01
5682;	8.2450000000e+01
5683;	8.5880000000e+01
5684;	8.0760000000e+01
5685;	1.1214000000e+02
5686;	1.0631000000e+02
5687;	1.0668000000e+02
5688;	8.2920000000e+01
5689;	9.2570000000e+01
5690;	8.8500000000e+01
5691;	8.6850000000e+01
5692;	1.1417000000e+02
5693;	9.1500000000e+01
5694;	9.6980000000e+01
5695;	7.6870000000e+01
5696;	9.2360000000e+01
5697;	1.0369000000e+02
5698;	7.0190000000e+01
5699;	1.0595000000e+02
5700;	1.0233000000e+02
5701;	1.0612000000e+02
5702;	1.2193000000e+02
5703;	1.0001000000e+02
5704;	8.6290000000e+01
5705;	1.1889000000e+02
5706;	9.1070000000e+01
5707;	9.3870000000e+01
5708;	1.0889000000e+02
5709;	9.7990000000e+01
5710;	7.5260000000e+01
5711;	1.0129000000e+02
5712;	7.6190000000e+01
5713;	9.9820000000e+01
5714;	8.8890000000e+01
5715;	1.1323000000e+02
5716;	7.0070000000e+01
5717;	8.3000000000e+01
5718;	9.6860000000e+01
5719;	7.7220000000e+01
5720;	7.5850000000e+01
5721;	9.0400000000e+01
5722;	8.6530000000e+01
5723;	1.0107000000e+02
5724;	8.9030000000e+01
5725;	9.3230000000e+01
5726;	1.1451000000e+02
5727;	9.2940000000e+01
5728;	1.0052000000e+02
5729;	7.5960000000e+01
5730;	8.3960000000e+01
5731;	9.4170000000e+01
5732;	8.6350000000e+01
5733;	9.6120000000e+01
5734;	9.6810000000e+01
5735;	1.0666000000e+02
5736;	9.9260000000e+01
5737;	1.1682000000e+02
5738;	1.0627000000e+02
5739;	7.5400000000e+01
5740;	7.5000000000e+01
5741;	1.1643000000e+02
5742;	1.0815000000e+02
5743;	8.7110000000e+01
5744;	7.2570000000e+01
5745;	8.5050000000e+01
5746;	9.4380000000e+01
5747;	7.3000000000e+01
5748;	1.1249000000e+02
5749;	1.0023000000e+02
5750;	8.5760000000e+01
5751;	1.1219000000e+02
5752;	1.2990000000e+02
5753;	9.9210000000e+01
5754;	9.9030000000e+01
5755;	1.0869000000e+02
5756;	1.2477000000e+02
5757;	1.0615000000e+02
5758;	9.8590000000e+01
5759;	8.1740000000e+01
5760;	8.5110000000e+01
5761;	1.0378000000e+02
5762;	8.6070000000e+01
5763;	1.1427000000e+02
5764;	1.1756000000e+02
5765;	1.1191000000e+02
5766;	1.1355000000e+02
5767;	1.0881000000e+02
5768;	8.9120000000e+01
5769;	9.2230000000e+01
5770;	1.0744000000e+02
5771;	9.5350000000e+01
5772;	1.0303000000e+02
5773;	9.9860000000e+01
5774;	8.6250000000e+01
5775;	9.4970000000e+01
5776;	7.5090000000e+01
5777;	9.6660000000e+01
5778;	1.0686000000e+02
5779;	9.9960000000e+01
5780;	1.0242000000e+02
5781;	8.1100000000e+01
5782;	9.4670000000e+01
5783;	8.4070000000e+01
5784;	1.1327000000e+02
5785;	1.0213000000e+02
5786;	8.7420000000e+01
5787;	1.1099000000e+02
5788;	1.1149000000e+02
5789;	7.7200000000e+01
5790;	1.0646000000e+02
5791;	9.2530000000e+01
5792;	9.2140000000e+01
5793;	7.5380000000e+01
5794;	1.0618000000e+02
5795;	1.0866000000e+02
5796;	9.3870000000e+01
5797;	7.2610000000e+01
5798;	1.2431000000e+02
5799;	1.2268000000e+02
5800;	9.4520000000e+01
5801;	9.1360000000e+01
5802;	8.9710000000e+01
5803;	9.8600000000e+01
5804;	1.0548000000e+02
5805;	1.1003000000e+02
5806;	1.0333000000e+02
5807;	1.0278000000e+02
5808;	1.1325000000e+02
5809;	1.0872000000e+02
5810;	8.9370000000e+01
5811;	7.8230000000e+01
5812;	8.6760000000e+01
5813;	1.0285000000e+02
5814;	8.7910000000e+01
5815;	9.0620000000e+01
5816;	9.3390000000e+01
5817;	9.8670000000e+01
5818;	1.0700000000e+02
5819;	1.0008000000e+02
5820;	1.1392000000e+02
5821;	9.4660000000e+01
5822;	9.7580000000e+01
5823;	1.1574000000e+02
5824;	8.9370000000e+01
5825;	7.7290000000e+01
5826;	1.1979000000e+02
5827;	1.1084000000e+02
5828;	1.3650000000e+02
5829;	1.0250000000e+02
